goos: darwin
goarch: arm64
pkg: slices-bench
BenchmarkInsertAtSlice/input_size_5-8         	 4034302	       275.4 ns/op	     320 B/op	      11 allocs/op
BenchmarkInsertAtSlice/input_size_5-8         	 4340569	       273.2 ns/op	     320 B/op	      11 allocs/op
BenchmarkInsertAtSlice/input_size_5-8         	 4416021	       274.0 ns/op	     320 B/op	      11 allocs/op
BenchmarkInsertAtSlice/input_size_5-8         	 4405641	       273.6 ns/op	     320 B/op	      11 allocs/op
BenchmarkInsertAtSlice/input_size_5-8         	 4392382	       302.9 ns/op	     320 B/op	      11 allocs/op
BenchmarkInsertAtSlice/input_size_5-8         	 4307380	       278.4 ns/op	     320 B/op	      11 allocs/op
BenchmarkInsertAtSlice/input_size_5-8         	 4300441	       279.7 ns/op	     320 B/op	      11 allocs/op
BenchmarkInsertAtSlice/input_size_5-8         	 4326570	       290.0 ns/op	     320 B/op	      11 allocs/op
BenchmarkInsertAtSlice/input_size_5-8         	 4357528	       276.6 ns/op	     320 B/op	      11 allocs/op
BenchmarkInsertAtSlice/input_size_5-8         	 4261412	       277.2 ns/op	     320 B/op	      11 allocs/op
BenchmarkInsertAtSlice/input_size_10-8        	 2312082	       512.8 ns/op	     640 B/op	      21 allocs/op
BenchmarkInsertAtSlice/input_size_10-8        	 2225046	       518.0 ns/op	     640 B/op	      21 allocs/op
BenchmarkInsertAtSlice/input_size_10-8        	 2314227	       513.0 ns/op	     640 B/op	      21 allocs/op
BenchmarkInsertAtSlice/input_size_10-8        	 2341353	       518.2 ns/op	     640 B/op	      21 allocs/op
BenchmarkInsertAtSlice/input_size_10-8        	 2307075	       510.6 ns/op	     640 B/op	      21 allocs/op
BenchmarkInsertAtSlice/input_size_10-8        	 2109585	       515.7 ns/op	     640 B/op	      21 allocs/op
BenchmarkInsertAtSlice/input_size_10-8        	 2330113	       515.0 ns/op	     640 B/op	      21 allocs/op
BenchmarkInsertAtSlice/input_size_10-8        	 2346320	       516.7 ns/op	     640 B/op	      21 allocs/op
BenchmarkInsertAtSlice/input_size_10-8        	 2292831	       519.9 ns/op	     640 B/op	      21 allocs/op
BenchmarkInsertAtSlice/input_size_10-8        	 2119074	       517.8 ns/op	     640 B/op	      21 allocs/op
BenchmarkInsertAtSlice/input_size_50-8        	  486512	      2389 ns/op	    3488 B/op	     101 allocs/op
BenchmarkInsertAtSlice/input_size_50-8        	  449812	      2385 ns/op	    3488 B/op	     101 allocs/op
BenchmarkInsertAtSlice/input_size_50-8        	  475092	      2492 ns/op	    3488 B/op	     101 allocs/op
BenchmarkInsertAtSlice/input_size_50-8        	  452012	      2715 ns/op	    3488 B/op	     101 allocs/op
BenchmarkInsertAtSlice/input_size_50-8        	  444355	      2542 ns/op	    3488 B/op	     101 allocs/op
BenchmarkInsertAtSlice/input_size_50-8        	  466880	      2503 ns/op	    3488 B/op	     101 allocs/op
BenchmarkInsertAtSlice/input_size_50-8        	  463960	      2482 ns/op	    3488 B/op	     101 allocs/op
BenchmarkInsertAtSlice/input_size_50-8        	  474430	      2399 ns/op	    3488 B/op	     101 allocs/op
BenchmarkInsertAtSlice/input_size_50-8        	  517022	      2422 ns/op	    3488 B/op	     101 allocs/op
