goos: darwin
goarch: arm64
pkg: slices-bench
BenchmarkInsertAtSlice/input_size_5-8         	 4309274	       277.8 ns/op	     320 B/op	      11 allocs/op
BenchmarkInsertAtSlice/input_size_5-8         	 4447801	       278.9 ns/op	     320 B/op	      11 allocs/op
BenchmarkInsertAtSlice/input_size_5-8         	 4387024	       272.3 ns/op	     320 B/op	      11 allocs/op
BenchmarkInsertAtSlice/input_size_5-8         	 4435911	       270.4 ns/op	     320 B/op	      11 allocs/op
BenchmarkInsertAtSlice/input_size_5-8         	 4428975	       269.2 ns/op	     320 B/op	      11 allocs/op
BenchmarkInsertAtSlice/input_size_5-8         	 4425495	       274.6 ns/op	     320 B/op	      11 allocs/op
BenchmarkInsertAtSlice/input_size_5-8         	 4394526	       275.6 ns/op	     320 B/op	      11 allocs/op
BenchmarkInsertAtSlice/input_size_5-8         	 4333353	       273.2 ns/op	     320 B/op	      11 allocs/op
BenchmarkInsertAtSlice/input_size_5-8         	 4367127	       282.8 ns/op	     320 B/op	      11 allocs/op
BenchmarkInsertAtSlice/input_size_5-8         	 4407872	       271.1 ns/op	     320 B/op	      11 allocs/op
BenchmarkInsertAtSlice/input_size_10-8        	 2005272	       502.3 ns/op	     640 B/op	      21 allocs/op
BenchmarkInsertAtSlice/input_size_10-8        	 2371812	       501.0 ns/op	     640 B/op	      21 allocs/op
BenchmarkInsertAtSlice/input_size_10-8        	 2411139	       504.3 ns/op	     640 B/op	      21 allocs/op
BenchmarkInsertAtSlice/input_size_10-8        	 2373008	       504.3 ns/op	     640 B/op	      21 allocs/op
BenchmarkInsertAtSlice/input_size_10-8        	 2378620	       542.9 ns/op	     640 B/op	      21 allocs/op
BenchmarkInsertAtSlice/input_size_10-8        	 2378278	       586.2 ns/op	     640 B/op	      21 allocs/op
BenchmarkInsertAtSlice/input_size_10-8        	 2400364	       672.8 ns/op	     640 B/op	      21 allocs/op
BenchmarkInsertAtSlice/input_size_10-8        	 2429780	       513.6 ns/op	     640 B/op	      21 allocs/op
BenchmarkInsertAtSlice/input_size_10-8        	 2410159	       500.3 ns/op	     640 B/op	      21 allocs/op
BenchmarkInsertAtSlice/input_size_10-8        	 2401537	       498.9 ns/op	     640 B/op	      21 allocs/op
BenchmarkInsertAtSlice/input_size_50-8        	  505833	      2269 ns/op	    3488 B/op	     101 allocs/op
BenchmarkInsertAtSlice/input_size_50-8        	  510346	      2422 ns/op	    3488 B/op	     101 allocs/op
BenchmarkInsertAtSlice/input_size_50-8        	  497448	      2294 ns/op	    3488 B/op	     101 allocs/op
BenchmarkInsertAtSlice/input_size_50-8        	  516400	      2265 ns/op	    3488 B/op	     101 allocs/op
BenchmarkInsertAtSlice/input_size_50-8        	  503767	      2266 ns/op	    3488 B/op	     101 allocs/op
BenchmarkInsertAtSlice/input_size_50-8        	  513507	      2287 ns/op	    3488 B/op	     101 allocs/op
BenchmarkInsertAtSlice/input_size_50-8        	  505891	      2377 ns/op	    3488 B/op	     101 allocs/op
BenchmarkInsertAtSlice/input_size_50-8        	  483454	      2385 ns/op	    3488 B/op	     101 allocs/op
BenchmarkInsertAtSlice/input_size_50-8        	  488089	      2294 ns/op	    3488 B/op	     101 allocs/op
BenchmarkInsertAtSlice/input_size_50-8        	  516988	      2309 ns/op	    3488 B/op	     101 allocs/op
BenchmarkInsertAtSlice/input_size_100-8       	  266288	      4943 ns/op	    6464 B/op	     201 allocs/op
BenchmarkInsertAtSlice/input_size_100-8       	  256400	      4383 ns/op	    6464 B/op	     201 allocs/op
BenchmarkInsertAtSlice/input_size_100-8       	  262221	      4367 ns/op	    6464 B/op	     201 allocs/op
BenchmarkInsertAtSlice/input_size_100-8       	  265479	      4401 ns/op	    6464 B/op	     201 allocs/op
BenchmarkInsertAtSlice/input_size_100-8       	  264313	      4391 ns/op	    6464 B/op	     201 allocs/op
BenchmarkInsertAtSlice/input_size_100-8       	  272211	      4399 ns/op	    6464 B/op	     201 allocs/op
BenchmarkInsertAtSlice/input_size_100-8       	  264025	      4404 ns/op	    6464 B/op	     201 allocs/op
BenchmarkInsertAtSlice/input_size_100-8       	  272278	      4434 ns/op	    6464 B/op	     201 allocs/op
BenchmarkInsertAtSlice/input_size_100-8       	  264562	      4488 ns/op	    6464 B/op	     201 allocs/op
BenchmarkInsertAtSlice/input_size_100-8       	  234271	      4423 ns/op	    6464 B/op	     201 allocs/op
BenchmarkInsertAtSlice/input_size_500-8       	   42679	     27890 ns/op	   35776 B/op	    1401 allocs/op
BenchmarkInsertAtSlice/input_size_500-8       	   43431	     28010 ns/op	   35776 B/op	    1401 allocs/op
BenchmarkInsertAtSlice/input_size_500-8       	   43280	     27842 ns/op	   35776 B/op	    1401 allocs/op
BenchmarkInsertAtSlice/input_size_500-8       	   41858	     27908 ns/op	   35776 B/op	    1401 allocs/op
BenchmarkInsertAtSlice/input_size_500-8       	   43338	     28370 ns/op	   35776 B/op	    1401 allocs/op
BenchmarkInsertAtSlice/input_size_500-8       	   42319	     27893 ns/op	   35776 B/op	    1401 allocs/op
BenchmarkInsertAtSlice/input_size_500-8       	   42931	     27950 ns/op	   35776 B/op	    1401 allocs/op
BenchmarkInsertAtSlice/input_size_500-8       	   43432	     27898 ns/op	   35776 B/op	    1401 allocs/op
BenchmarkInsertAtSlice/input_size_500-8       	   41990	     29691 ns/op	   35776 B/op	    1401 allocs/op
BenchmarkInsertAtSlice/input_size_500-8       	   41398	     29029 ns/op	   35776 B/op	    1401 allocs/op
BenchmarkInsertAtSlice/input_size_1000-8      	   20599	     58125 ns/op	   72352 B/op	    2901 allocs/op
BenchmarkInsertAtSlice/input_size_1000-8      	   20278	     58617 ns/op	   72352 B/op	    2901 allocs/op
BenchmarkInsertAtSlice/input_size_1000-8      	   20653	     58826 ns/op	   72352 B/op	    2901 allocs/op
BenchmarkInsertAtSlice/input_size_1000-8      	   21032	     59247 ns/op	   72352 B/op	    2901 allocs/op
BenchmarkInsertAtSlice/input_size_1000-8      	   20229	     58804 ns/op	   72352 B/op	    2901 allocs/op
BenchmarkInsertAtSlice/input_size_1000-8      	   20842	     58763 ns/op	   72352 B/op	    2901 allocs/op
BenchmarkInsertAtSlice/input_size_1000-8      	   20668	     57965 ns/op	   72352 B/op	    2901 allocs/op
BenchmarkInsertAtSlice/input_size_1000-8      	   20358	     59522 ns/op	   72352 B/op	    2901 allocs/op
BenchmarkInsertAtSlice/input_size_1000-8      	   20366	     58811 ns/op	   72352 B/op	    2901 allocs/op
BenchmarkInsertAtSlice/input_size_1000-8      	   19825	     63836 ns/op	   72352 B/op	    2901 allocs/op
BenchmarkInsertAtSlice/input_size_10000-8     	    1753	    647695 ns/op	  794531 B/op	   29901 allocs/op
BenchmarkInsertAtSlice/input_size_10000-8     	    1830	    647896 ns/op	  794531 B/op	   29901 allocs/op
BenchmarkInsertAtSlice/input_size_10000-8     	    1868	    643399 ns/op	  794532 B/op	   29901 allocs/op
BenchmarkInsertAtSlice/input_size_10000-8     	    1850	    654160 ns/op	  794532 B/op	   29901 allocs/op
BenchmarkInsertAtSlice/input_size_10000-8     	    1882	    652744 ns/op	  794531 B/op	   29901 allocs/op
BenchmarkInsertAtSlice/input_size_10000-8     	    1858	    725490 ns/op	  794532 B/op	   29901 allocs/op
BenchmarkInsertAtSlice/input_size_10000-8     	    1771	    739920 ns/op	  794531 B/op	   29901 allocs/op
BenchmarkInsertAtSlice/input_size_10000-8     	    1689	    719904 ns/op	  794532 B/op	   29901 allocs/op
BenchmarkInsertAtSlice/input_size_10000-8     	    1736	    677164 ns/op	  794532 B/op	   29901 allocs/op
BenchmarkInsertAtSlice/input_size_10000-8     	    1749	    701341 ns/op	  794532 B/op	   29901 allocs/op
PASS
ok  	slices-bench	103.811s
